Total,Year,residence,region,wealth_q,elderly_hoh,sex_hoh,sex_ch,mother_edu,age_in_months,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,ch_age_cat_6_59,chweight,breastmilk,cont_1223_bf
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,13.0,0,0,100,100,100,100,0.745367,100,100.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,13.0,0,0,100,100,100,100,0.745367,100,100.0
Total,2000,Rural,Plain,Middle,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Primary,5.0,100,0,0,0,0,0,0.745367,100,
Total,2000,Rural,Plain,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,5.0,100,0,0,0,0,0,0.745367,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,37.0,0,0,0,0,0,100,0.745367,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,44.0,0,0,0,0,0,100,0.745367,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,8.0,0,100,0,0,100,100,0.745367,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Primary,0.0,100,0,0,0,0,0,0.745367,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,13.0,0,0,100,100,100,100,0.745367,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,8.0,0,100,0,0,100,100,0.745367,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,15.0,0,0,100,100,100,100,0.745367,100,100.0
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,13.0,0,0,100,100,100,100,0.745367,100,100.0
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,47.0,0,0,0,0,0,100,0.745367,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,44.0,0,0,0,0,0,100,0.746196,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,51.0,0,0,0,0,0,100,0.746196,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,43.0,0,0,0,0,0,100,0.746196,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,24.0,0,0,0,0,0,100,0.746196,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: None/ECE,12.0,0,0,100,100,100,100,0.746196,100,100.0
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,24.0,0,0,0,0,0,100,0.746196,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,0.746196,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,0.746196,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,40.0,0,0,0,0,0,100,0.746196,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,38.0,0,0,0,0,0,100,0.746196,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Primary,9.0,0,0,100,0,100,100,0.741932,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Primary,16.0,0,0,100,100,100,100,0.741932,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,4.0,100,0,0,0,0,0,0.741932,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,29.0,0,0,0,0,0,100,0.741932,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Primary,25.0,0,0,0,0,0,100,0.741932,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: None/ECE,37.0,0,0,0,0,0,100,0.741932,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,,0,0,0,0,0,0,0.738399,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,37.0,0,0,0,0,0,100,0.738399,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,30.0,0,0,0,0,0,100,0.738399,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,7.0,0,100,0,0,100,100,0.738399,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,13.0,0,0,100,100,100,100,0.738399,100,100.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,0.738399,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,50.0,0,0,0,0,0,100,0.738399,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,25.0,0,0,0,0,0,100,0.738399,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,13.0,0,0,100,100,100,100,0.738399,100,100.0
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,11.0,0,0,100,0,100,100,0.738399,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: None/ECE,43.0,0,0,0,0,0,100,0.738399,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,3.0,100,0,0,0,0,0,0.738399,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,0.738399,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,2.0,100,0,0,0,0,0,0.755211,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,20.0,0,0,100,100,100,100,0.755211,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,29.0,0,0,0,0,0,100,0.755211,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,8.0,0,100,0,0,100,100,0.755211,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Primary,9.0,0,0,100,0,100,100,0.755211,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,20.0,0,0,100,100,100,100,0.755211,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,33.0,0,0,0,0,0,100,0.755211,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,13.0,0,0,100,100,100,100,0.755211,100,100.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,10.0,0,0,100,0,100,100,0.755211,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,36.0,0,0,0,0,0,100,0.755211,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,3.0,100,0,0,0,0,0,0.755211,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: None/ECE,56.0,0,0,0,0,0,100,0.755211,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,47.0,0,0,0,0,0,100,0.755211,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,26.0,0,0,0,0,0,100,0.754431,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,1.0,100,0,0,0,0,0,0.754431,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: None/ECE,18.0,0,0,100,100,100,100,0.754431,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,,0,0,0,0,0,0,0.754431,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,24.0,0,0,0,0,0,100,0.754431,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: None/ECE,17.0,0,0,100,100,100,100,0.754431,100,100.0
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,13.0,0,0,100,100,100,100,0.754431,100,100.0
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,40.0,0,0,0,0,0,100,0.754431,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,35.0,0,0,0,0,0,100,0.754431,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,0.754431,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,36.0,0,0,0,0,0,100,0.754431,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,38.0,0,0,0,0,0,100,0.754431,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,25.0,0,0,0,0,0,100,0.753468,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0.0,100,0,0,0,0,0,0.753468,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,14.0,0,0,100,100,100,100,0.753468,100,100.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,3.0,100,0,0,0,0,0,0.753468,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,2.0,100,0,0,0,0,0,0.753468,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,22.0,0,0,100,100,100,100,0.753468,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,23.0,0,0,100,100,100,100,0.753468,100,100.0
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,24.0,0,0,0,0,0,100,0.753468,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,2.0,100,0,0,0,0,0,0.753468,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,26.0,0,0,0,0,0,100,0.753468,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,23.0,0,0,100,100,100,100,0.753468,100,100.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,22.0,0,0,100,100,100,100,0.753468,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Primary,1.0,100,0,0,0,0,0,0.755467,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,38.0,0,0,0,0,0,100,0.755467,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,5.0,100,0,0,0,0,0,0.755467,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,14.0,0,0,100,100,100,100,0.755467,100,100.0
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,17.0,0,0,100,100,100,100,0.755467,100,100.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,5.0,100,0,0,0,0,0,0.755467,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Primary,18.0,0,0,100,100,100,100,0.755467,100,100.0
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,0.755467,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,16.0,0,0,100,100,100,100,0.755467,100,100.0
Total,2000,Rural,Plain,Poorest,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,19.0,0,0,100,100,100,100,0.755467,100,100.0
Total,2000,Rural,Plain,Middle,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Primary,1.0,100,0,0,0,0,0,0.755467,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,,0,0,0,0,0,0,0.755467,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,5.0,100,0,0,0,0,0,0.755467,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,35.0,0,0,0,0,0,100,0.755467,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,8.0,0,100,0,0,100,100,0.755467,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,0.753655,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,44.0,0,0,0,0,0,100,0.753655,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,3.0,100,0,0,0,0,0,0.753655,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,41.0,0,0,0,0,0,100,0.753655,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,51.0,0,0,0,0,0,100,0.753655,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,1.0,100,0,0,0,0,0,0.753655,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,0.0,100,0,0,0,0,0,0.753655,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,45.0,0,0,0,0,0,100,0.753655,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,57.0,0,0,0,0,0,100,0.753655,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: None/ECE,49.0,0,0,0,0,0,100,0.753655,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,36.0,0,0,0,0,0,100,0.753655,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,35.0,0,0,0,0,0,100,0.753655,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,35.0,0,0,0,0,0,100,0.753655,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,23.0,0,0,100,100,100,100,0.753655,100,100.0
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,52.0,0,0,0,0,0,100,0.748607,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,24.0,0,0,0,0,0,100,0.748607,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,38.0,0,0,0,0,0,100,0.748607,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,4.0,100,0,0,0,0,0,0.748607,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,4.0,100,0,0,0,0,0,0.748607,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,4.0,100,0,0,0,0,0,0.748607,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Primary,12.0,0,0,100,100,100,100,0.748607,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,7.0,0,100,0,0,100,100,0.748607,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,23.0,0,0,100,100,100,100,0.748607,100,100.0
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,30.0,0,0,0,0,0,100,0.748607,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,36.0,0,0,0,0,0,100,0.748607,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,2.0,100,0,0,0,0,0,0.748607,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,18.0,0,0,100,100,100,100,0.748607,100,100.0
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,41.0,0,0,0,0,0,100,0.748607,0,
Total,2000,Rural,Plain,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,,0,0,0,0,0,0,0.748607,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,0.748607,0,
Total,2000,Urban,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,26.0,0,0,0,0,0,100,1.401409,0,
Total,2000,Urban,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,2.0,100,0,0,0,0,0,1.401409,100,
Total,2000,Urban,Plain,Rich,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: None/ECE,24.0,0,0,0,0,0,100,1.401409,0,
Total,2000,Urban,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,3.0,100,0,0,0,0,0,1.401409,100,
Total,2000,Urban,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,59.0,0,0,0,0,0,100,1.401409,0,
Total,2000,Urban,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,8.0,0,100,0,0,100,100,1.390334,100,
Total,2000,Urban,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: None/ECE,,0,0,0,0,0,0,1.390334,0,
Total,2000,Urban,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,49.0,0,0,0,0,0,100,1.390334,0,
Total,2000,Urban,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,26.0,0,0,0,0,0,100,1.390334,100,
Total,2000,Urban,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,,0,0,0,0,0,0,1.390334,0,
Total,2000,Urban,Plain,Rich,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: None/ECE,36.0,0,0,0,0,0,100,1.390334,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,15.0,0,0,100,100,100,100,1.147253,100,100.0
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,12.0,0,0,100,100,100,100,1.147253,100,100.0
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,20.0,0,0,100,100,100,100,1.147253,0,0.0
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,3.0,100,0,0,0,0,0,1.147253,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,6.0,0,100,0,0,100,100,1.147253,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: None/ECE,43.0,0,0,0,0,0,100,1.147253,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,1.147253,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,26.0,0,0,0,0,0,100,1.147253,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,57.0,0,0,0,0,0,100,1.147253,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,15.0,0,0,100,100,100,100,1.147253,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Primary,,0,0,0,0,0,0,1.147253,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,15.0,0,0,100,100,100,100,1.147253,100,100.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,17.0,0,0,100,100,100,100,1.147253,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,4.0,100,0,0,0,0,0,1.147253,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,40.0,0,0,0,0,0,100,1.147253,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,2.0,100,0,0,0,0,0,1.147253,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,11.0,0,0,100,0,100,100,1.147253,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,16.0,0,0,100,100,100,100,1.129007,100,100.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0.0,100,0,0,0,0,0,1.129007,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,47.0,0,0,0,0,0,100,1.129007,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,15.0,0,0,100,100,100,100,1.129007,100,100.0
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,10.0,0,0,100,0,100,100,1.129007,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,1.0,100,0,0,0,0,0,1.129007,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,49.0,0,0,0,0,0,100,1.129007,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,6.0,0,100,0,0,100,100,1.129007,100,
Total,2000,Rural,Plain,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,44.0,0,0,0,0,0,100,1.129007,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,47.0,0,0,0,0,0,100,1.129007,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,48.0,0,0,0,0,0,100,1.129007,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,48.0,0,0,0,0,0,100,1.129007,0,
Total,2000,Rural,Plain,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,24.0,0,0,0,0,0,100,1.129007,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: None/ECE,48.0,0,0,0,0,0,100,1.129007,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: None/ECE,,0,0,0,0,0,0,1.129007,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,59.0,0,0,0,0,0,100,1.129007,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,,0,0,0,0,0,0,1.129007,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,9.0,0,0,100,0,100,100,1.129007,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,50.0,0,0,0,0,0,100,1.129007,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,8.0,0,100,0,0,100,100,1.129007,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,3.0,100,0,0,0,0,0,1.129007,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,5.0,100,0,0,0,0,0,1.129007,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,28.0,0,0,0,0,0,100,1.136636,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,13.0,0,0,100,100,100,100,1.136636,100,100.0
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,0.0,100,0,0,0,0,0,1.136636,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,29.0,0,0,0,0,0,100,1.136636,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,8.0,0,100,0,0,100,100,1.136636,100,
